clean_text,file,label,height,width,fps,start,end,cleaned_url
please,Unit 1(1).mp4,47,360,202,29.97,8451,8540,https://www.youtube.com/watch?v=nvaS2J5mcEk
please,Unit 1 Vocabulary(2).mp4,47,360,640,29.97,13959,14050,https://www.youtube.com/watch?v=7YYB3BEoksc
please,SignSchool Please.mp4,47,360,640,29.97,0,64,https://www.youtube.com/watch?v=eyu0V3s1-XA
please,Introduction to American Sign Language Questions and Small Talk.mp4,47,360,640,29.97,6348,6429,https://www.youtube.com/watch?v=UoITyyziLOw
please,Please.mp4,47,360,640,17.12,0,91,https://www.youtube.com/watch?v=Doxjf4SCY4k
please,Unit 02 Vocabulary.mp4,47,360,626,29.97,4390,4505,https://www.youtube.com/watch?v=hjS0dQDgbjo
please,American Sign Language Learning the basics.mp4,47,360,640,29.97,2280,2309,https://www.youtube.com/watch?v=yG09SQB0Hds
please,Please - Asl.mp4,47,284,500,25.0,0,69,https://www.youtube.com/watch?v=_rviR_jhCmg
please,Unit 1 Survival Signs.mp4,47,360,640,29.97,223,406,https://www.youtube.com/watch?v=lSxAVvE9sPc
please,please - ASL sign for please.mp4,47,360,480,29.97,60,204,https://www.youtube.com/watch?v=Q6CfqYwp1ag
please,please - ASL sign for please.mp4,47,360,480,29.97,204,330,https://www.youtube.com/watch?v=Q6CfqYwp1ag
please,First 100 Social Function.mp4,47,720,1280,25.0,347,468,https://www.youtube.com/watch?v=6XcxbPfP5YQ
please,Basic Sign Language for Caregivers (mealtime).mp4,47,360,640,29.97,1358,1428,https://www.youtube.com/watch?v=XtkDeYBnR8o
please,Permission.mp4,47,720,1280,29.97,2253,2353,https://www.youtube.com/watch?v=SI_7UivPW_I
please,ASL Vocabulary please.mp4,47,360,640,29.97,50,120,https://www.youtube.com/watch?v=ygpjKBrb91s
please,ASL Unit One Vocabulary.mp4,47,360,640,29.97,7575,7654,https://www.youtube.com/watch?v=Eq6SnaimpzQ
please,Unit 2 Vocabularymp4.mp4,47,360,640,25.0,8801,8956,https://www.youtube.com/watch?v=Fz1I_Ssr3AE
please,Unit 1 Vocabulary(2).mp4,47,360,640,29.97,14051,14115,https://www.youtube.com/watch?v=7YYB3BEoksc
please,How to sign Please - ASL Vocabulary Series.mp4,47,360,480,30.0,0,111,https://www.youtube.com/watch?v=EKHye1RrCy0
please,SN Unit 1 Video Vocab Review.mp4,47,360,640,29.97,7710,7824,https://www.youtube.com/watch?v=p8OYydc3WQM
please,please - ASL sign for please.mp4,47,360,480,29.97,330,400,https://www.youtube.com/watch?v=Q6CfqYwp1ag
please,Making Conversation Vocabulary  ASL - American Sign Language.mp4,47,360,640,29.97,2154,2203,https://www.youtube.com/watch?v=TDoqoJDX280
please,Beginner Vocabulary.mp4,47,360,640,29.97,3878,3979,https://www.youtube.com/watch?v=MDQQ9WZNwcc
please,Unit 1 Vocabulary(2).mp4,47,360,640,29.97,13981,14016,https://www.youtube.com/watch?v=7YYB3BEoksc
please,ASL Vocabulary please.mp4,47,360,640,29.97,140,220,https://www.youtube.com/watch?v=ygpjKBrb91s
please,Unit 1 Vocabulary(2).mp4,47,360,640,29.97,14120,14168,https://www.youtube.com/watch?v=7YYB3BEoksc
sorry,sorry - ASL sign for sorry.mp4,89,360,480,29.97,170,250,https://www.youtube.com/watch?v=siQnKSRRg_c
sorry,SORRY(1).mp4,89,240,320,30.0,0,84,https://www.youtube.com/watch?v=lTLlauTBuVQ
sorry,ASL 1 Unit 3 Vocabulary.mp4,89,360,640,29.97,25765,25825,https://www.youtube.com/watch?v=KRrKqGEGdMg
sorry,Sorry - Asl.mp4,89,284,500,25.0,0,55,https://www.youtube.com/watch?v=0nTuxPL7RGg
sorry,Basic Sign Language for Caregivers of the DeafHard of Hearing.mp4,89,360,640,29.97,8052,8247,https://www.youtube.com/watch?v=rkQZQhloXuE
sorry,CCHS ASL Unit 5.mp4,89,720,960,29.97,10642,10840,https://www.youtube.com/watch?v=yhBt5YS_2L4&t=261s
sorry,CCHS ASL Unit 1.mp4,89,720,960,29.97,13092,13241,https://www.youtube.com/watch?v=eXpXg4q-qEQ&t=170s
sorry,Baby Sign Language Sorry.mp4,89,360,640,29.97,0,128,https://www.youtube.com/watch?v=zCUZOnKoKWQ
sorry,Unit 1 Survival Signs.mp4,89,360,640,29.97,533,653,https://www.youtube.com/watch?v=lSxAVvE9sPc
sorry,Unit 1 Survival Signs.mp4,89,360,640,29.97,440,503,https://www.youtube.com/watch?v=lSxAVvE9sPc
sorry,sorry - ASL sign for sorry.mp4,89,360,480,29.97,320,470,https://www.youtube.com/watch?v=siQnKSRRg_c
sorry,Beginner Vocabulary.mp4,89,360,640,29.97,4506,4653,https://www.youtube.com/watch?v=MDQQ9WZNwcc
sorry,Barista ASL Vocabulary.mp4,89,360,640,29.97,4030,4189,https://www.youtube.com/watch?v=Cgh1DXAQBuI
sorry,SN Unit 1 Video Vocab Review.mp4,89,360,640,29.97,7831,7927,https://www.youtube.com/watch?v=p8OYydc3WQM
sorry,Introduction to American Sign Language Questions and Small Talk.mp4,89,360,640,29.97,6283,6346,https://www.youtube.com/watch?v=UoITyyziLOw
sorry,sorry - ASL sign for sorry.mp4,89,360,480,29.97,80,170,https://www.youtube.com/watch?v=siQnKSRRg_c
sorry,ASL Vocabulary sorry.mp4,89,360,640,29.97,0,70,https://www.youtube.com/watch?v=yJePAnyVcqg
sorry,ASL Vocabulary sorry.mp4,89,360,640,29.97,90,184,https://www.youtube.com/watch?v=yJePAnyVcqg
sorry,ASL Level 1 Unit 1 Vocabulary.mp4,89,720,1280,29.97,2132,2226,https://www.youtube.com/watch?v=FKp2hBhdj9k
sorry,UNIT 10 VOCABULARY.mp4,89,360,640,29.97,38996,39175,https://www.youtube.com/watch?v=shPBfkIYYpU
sorry,Sorry.mp4,89,360,640,17.075,0,108,https://www.youtube.com/watch?v=cIjUDNEYWTE
sorry,SignSchool sorry.mp4,89,360,640,29.97,0,103,https://www.youtube.com/watch?v=W1gUtNUjWdI
sorry,Unit 03 Vocabulary.mp4,89,360,626,29.97,828,939,https://www.youtube.com/watch?v=4Nh1iFv2BMc
sorry,Permission.mp4,89,720,1280,29.97,322,462,https://www.youtube.com/watch?v=SI_7UivPW_I
sorry,Permission.mp4,89,720,1280,29.97,464,531,https://www.youtube.com/watch?v=SI_7UivPW_I
